id,item_type,title,chars,words
1267,Physical Object,Häftlingsnummer der Polin Maria Gniatczyk,50,7
1268,Text Item,"Erweiterung des Männerlagers, Januar 1945",803,145
1269,Text Item,"Arbeiten im Schuhzelt, 1944",1137,215
1270,Text Item,3. Mai 1944,400,70
1271,Text Item,9/11/1944,493,88
1272,Text Item,10. Februar 1945,364,66
1273,Text Item,9. Februar 1945,356,70
1274,Text Item,9/11/1944,390,65
1275,Text Item,"Unterbringung im Ungarnlager, Dezember 1944",798,136
1276,Text Item,"Ankunft im Häftlingslager, Juni 1944",939,159
1277,Text Item,"Die erste Zeit im Häftlingslager, März 1944",597,112
1278,Text Item,"Situation im Männerlager, Februar 1945",657,119
1279,Text Item,"Bedingungen in der Latrinenbaracke, Februar 1945",689,129
1280,Text Item,27 Augustus 1944,2833,554
1281,Text Item,30-8-1944,1261,226
1282,Text Item,Februar 1945,1499,274
1283,Text Item,Am Rande von Belsen. Erinnerungen an das Kriegsende,117,16
1284,Text Item,4/22/1944,2287,400
1285,Text Item,5. Dezember 1944,386,60
1286,Text Item,5. Dezember 1944,982,168
1287,Text Item,Die Latrinen,610,113
1288,Text Item,Die Bestrafung von Brotdiebstahl,1237,216
1289,Text Item,Der Tagesablauf im polnischen Sonderlager,800,146
1290,Text Item,Die Lebensmittelrationen,847,149
1291,Text Item,Essensrationen,964,174
1292,Text Item,Umzug im Februar 1945,1729,314
1293,Text Item,Beschreibung des Männerlagers,807,145
1294,Text Item,Transporte aus anderen Lagern,810,127
1295,Text Item,Situation im Frauenlager,969,166
1296,Text Item,Katastrophale Lebensbedingungen,862,136
1297,Text Item,Arbeit im Krematorium,929,170
1298,Text Item,Massengräber,491,87
1299,Text Item,Das Leichenkommando,1096,200
1300,Text Item,Auswahl für einen Austausch,1547,276
1301,Text Item,Brood als kampvaluta,783,142
1302,Text Item,"Situation im Sternlager, März 1945",1402,257
1303,Oral History,"Arbeiten in Küche II, 1944",387,68
1304,Oral History,"Sanitäre Situation in der Baracke, 1944",780,135
1305,Oral History,Beschreibung der Aufnahme von Baracke 198 ,30,6
1306,Oral History,Die Unterbringung der weiblichen polnischen Kriegsgefangenen,629,114
1307,Oral History,Hilfspakete vom Roten Kreuz,588,92
1308,Oral History,Einteilung zu den Arbeitskommandos,978,175
1309,Oral History,Die Häftlingsnummer von Maria Gniatczyk,908,158
